Province,Varese,Como,Lecco,Sondrio,Milano,Bergamo,Brescia,Pavia,Lodi,Cremona,Mantova,Bolzano,Trento,Treviso,L'Aquila,Teramo,Pescara,Isernia,Lecce,Potenza,Matera,Cosenza,Benevento,Caserta,Vicenza,Belluno,Prato,Napoli,Avellino,Verona,Padova,Campobasso,Arezzo,Pistoia,Firenze,Monza,Venezia,Rovigo,Catania,Trieste,Caltanissetta,Bari,Siena,Udine,Taranto,Enna,Perugia,Terni,Fermo,Barletta,Forlì,Pordenone,Rimini,Parma,Macerata,Modena,Ferrara,Bologna,Pesaro,Ancona,Piacenza,Ascoli Piceno,Reggio nell'Emilia,Rieti,Roma,Ravenna,Frosinone,Novara,Alessandria,Asti,Biella,Cusio,Torino,Cuneo,Vercelli,Genova
Prato,5000.195442098566,1936.2541993646946,2209.0748404603737,253.18828599620295,18453.959302667205,8597.631130358244,7436.088494494991,1677.262194027482,1080.9465444600023,1598.183143092832,1950.3551744213664,1079.6975614067244,809.3494459716944,8774.835504458164,1809.8672074898263,757.1078702177825,196.6806567120021,115.08617683550365,40.39093172249461,127.59538408397655,25.026692430306447,45.76858102738398,104.61695211261093,1242.8468942509617,13439.379161300243,1289.9882059123465,0.0,1674.8066935758418,165.87538991188285,4411.1297863499885,6269.478838253871,79.96020500639789,7311.881696968311,6606.338834017498,57776.70690190029,8770.166068452281,2611.126137194646,725.2760181828271,1144.3971378237684,591.1926072317062,33.527887544269056,373.3318927572522,3721.823202009544,815.935442892998,24.949101220101884,5.600977074382313,2286.6899113615946,94.45701848160259,755.5072921096868,107.4425874354698,4682.554728368286,3035.651409912813,1886.177752062566,2189.375160015915,1671.7650454706447,10895.384566620316,2003.663319089126,25767.55635178535,1777.3137735994048,6989.8142825510595,1235.5214578252615,1140.9011772575132,9515.378297887555,369.83085987415643,4692.915881126036,3105.8258617019032,1614.3589043511595,730.4625650278391,813.8858674122706,535.8631503091809,61.59317018865063,189.47514389606684,7537.497060457175,849.4731235301518,710.5016104161665,5034.07828092685
Napoli,42519.11468471475,15984.110100119215,17866.42521151726,2140.706210700096,139478.746001421,64996.07712698284,50945.73578859243,11940.944234042998,7484.477172538869,9502.35342002946,10810.73515182959,10063.811596305453,6655.323144592716,73248.47289328543,53785.57984667321,19692.40117416705,6962.57149045677,10711.989538125701,1811.3066529513155,10871.40883427143,1554.1305739296472,2696.8228668533975,17508.258593221504,404159.42908741784,95742.63423025381,12027.935048454658,1674.8066935758418,0.0,34188.4464208332,28464.659513195256,44665.50781260179,7686.47521621665,34906.53639045429,5015.803279295077,53916.403036219825,67375.36887936568,20841.85881126547,4357.330349704913,50947.058342765595,6824.757736227419,1452.7250154876062,20287.62436375329,14221.168684876495,8809.703942030501,1323.4647428815938,247.9677637783741,22439.3441560877,1677.4906344587544,14019.341458756131,6597.86265859981,20346.24400321975,29181.269332373646,12589.3653518734,10274.086145402602,25590.845296121734,39991.55959427904,9922.428431490704,83200.51895561705,15509.907768568359,93975.3081519608,7599.191259885298,24506.935209596955,38397.687919120006,8268.352782869286,132368.51644986196,16412.909948055843,91956.58018323527,5980.004831974205,6176.8851647613055,4409.194077117871,554.0260810290125,1555.6362992241534,68510.14449418512,7786.966304828555,5889.169922776461,33471.338819940625
Avellino,4300.348449127478,1617.621443411738,1810.6444182358298,217.97771870285027,14069.85120829587,6582.721947005925,5163.496931149398,1200.5785877687042,754.3840503220828,957.4577108443959,1094.1792607304299,1035.6828387876897,681.6918557454135,7548.285412498622,5175.662354014541,1987.6099647432773,732.5482405858844,1046.1067016535028,217.21523212161284,1667.016778466282,208.72833459252433,311.3804022568493,4192.697442944927,26556.180105881118,9791.423986126469,1243.0843057391091,165.87538991188285,34188.4464208332,0.0,2895.0310454006785,4575.185356784475,960.9635995915409,3439.2194357434537,496.87402766623717,5330.170950894856,6806.674837872592,2145.836842038474,444.23764211272453,5282.2899898265705,715.81299885052,146.29855604545367,2676.0687749793847,1386.8656495657758,919.0788789284898,166.46470251824277,25.100318209734937,2195.689250865469,159.4877464087409,1442.8393113392037,927.4045979994464,2051.8491467680865,3025.2699487213413,1276.257590043038,1031.7608818574215,2610.987551949717,4020.1492493757573,1006.540816826965,8369.040213385206,1579.058369107891,9681.729367178628,763.9097131874032,2475.959489417143,3855.8821129680996,779.609523654512,11733.499377228463,1665.2611541350298,7687.129686459583,602.3358198715116,618.4845652140481,441.3122061922807,55.82547372975045,157.9730205224346,6869.149589252451,775.3985085865886,592.2566687734176,3330.2694491187976
Verona,184490.44478453623,76812.49889450119,98099.81768503245,13258.497307538937,697129.4216606332,425060.0644771259,546203.7633292242,55564.44329578435,42953.583160511334,71930.45357512878,184131.04523716195,59635.08203400668,63824.70313414091,435503.9665284826,26684.43155127525,11572.884085319636,3209.923288114288,1903.667218528728,801.939628751121,2344.1012503292613,474.11526331844124,866.355741432538,1815.9363932190147,21046.35800526397,1297151.9115514394,64080.32390039876,4411.1297863499885,28464.659513195256,2895.0310454006785,0.0,375589.27268138295,1366.3104380759792,57055.771548805846,14119.960475299707,126392.77122607015,354082.9363605482,113222.20050203495,31949.525615802406,21796.38925171326,17973.40885624573,630.0440251958155,7156.807336244817,23525.385797844312,29469.627573190155,482.6979743476912,105.3569887179118,25177.79535350577,1210.5555350338384,11772.935714539439,2013.2019601267373,57405.29553456814,128357.66788789284,26229.042355860216,68039.63815892347,25026.742336453706,244161.47436623694,63122.971004850835,386917.5647823472,26111.57878874691,111012.73382850159,43907.83960456394,17105.462724102443,245759.68674796322,5014.201369618573,64908.63835701557,51230.66060619782,24795.31324150471,23696.707657169714,21802.950945548873,13892.833446196848,1875.1021296542453,9173.828079740086,198767.3564516953,19090.07103272986,21508.48434769353,106361.68175426396
Padova,196476.46270825568,79020.82602163701,96684.8178143456,13195.283871288455,692579.2285776912,385086.8726458772,381864.5386724814,56195.24493282363,40140.15561890415,59718.50766814764,106672.44061801872,83671.30130169238,71035.78074066657,1593540.6171725625,43093.74101555514,19099.98124719324,5288.109683859579,3038.7171875644626,1269.360675560971,3710.2495074045155,752.8713704832892,1348.4335815343945,2882.7662363669638,33215.41265003068,2854909.09750628,136342.09883131948,6269.478838253871,44665.50781260179,4575.185356784475,375589.27268138295,0.0,2189.7618340183353,90199.2651722947,19377.954724009207,185252.146990455,347238.49130467075,485651.94002967543,93113.8710254095,33228.62590962455,38600.53323254194,954.6825397181848,11460.065376684775,34978.61177718314,63758.60982105715,765.0004447479331,159.92269055971005,40608.675958780244,1925.0980632773508,20074.109251235546,3234.1098539279074,101830.2296332582,312768.4316696274,48113.15155662369,63737.5931919872,42948.223571273775,282356.75996169,116548.71904298045,565600.4550976052,47509.976052824204,196872.84876977344,40934.07330587295,28474.501581532284,251948.84437446756,7988.488105100928,100573.99873925818,99493.18972046368,39056.127087760324,25557.91078381028,24111.114291178415,15892.791999125662,2134.8296856881475,8961.8882516065,233646.5916262123,23226.484336169106,23731.248124430444,121568.41181685892
Campobasso,1965.1571757797417,741.4692179549527,832.772207483731,100.58018317655738,6466.843166049417,3040.9513995805555,2406.135979678171,552.0778728858899,348.4551943607245,446.26667955704596,516.6134752222976,483.25448954591417,319.3446916776484,3609.1243284363773,3129.6957685722505,1222.5000909016815,511.2558381844109,1070.6012497916822,81.8871843577288,450.4034365221997,70.8868845336716,99.85086624426681,865.1549321904862,7905.342100340695,4650.9058076870915,588.1381424786426,79.96020500639789,7686.47521621665,960.9635995915409,1366.3104380759792,2189.7618340183353,0.0,1718.168401680215,238.07951792038722,2585.406440006198,3130.366613557075,1033.0406084256701,213.87922901823524,1857.5632221002243,346.69267339250484,51.90681879591264,1031.4250202523485,675.551442366436,438.79597554779525,59.55294571116825,8.848883981234465,1137.646617591224,85.1746083862432,824.0137718479759,372.82214885417557,1014.6283265277273,1442.6236703550608,645.5673818889205,484.627104623596,1443.528371271595,1914.8757267846927,485.3660019370272,4034.572020164396,814.4154023203326,5216.125794330904,354.28958342544695,1455.5265502459763,1823.8019749294976,427.75191681153314,5892.679878399983,822.7365567467126,4273.899440791018,274.8744900072447,282.29409880809624,200.3283678593227,25.306901139521603,72.77393141747838,3099.9699498274417,348.4824557243591,269.65933804690013,1525.8449876060624
Arezzo,67579.46761770673,25963.972980035225,29548.461221847538,3483.8114169709816,238581.98394995302,112454.86163554402,94801.14274215083,21079.12815932281,13525.142433128029,18900.489686691548,23300.910487603283,15940.938336608857,11450.523325834458,133709.84745064715,44906.313527449114,18864.000026575373,4574.6380440495905,2516.3609096500727,780.7005758021803,2570.831383349971,497.5867927262164,888.1313890819157,2191.713678542022,26217.585074106464,187133.4546949276,19780.17676053635,7311.881696968311,34906.53639045429,3439.2194357434537,57055.771548805846,90199.2651722947,1718.168401680215,0.0,18921.52327918183,290847.7814724015,114428.18668422723,40234.26835084261,10009.7907088183,21550.664748736825,10287.429585077432,629.457479934385,7444.3508861686305,87869.79319652946,13457.878728440883,489.3312252639733,105.37202248187147,92779.79713200322,2650.824498608936,19250.56296955796,2179.2188836665714,80138.12022533276,48144.90690898873,45072.7617583998,23182.43673206404,44874.102842570115,106235.35084981206,25554.083324531784,257155.41765880474,46130.79740734312,177724.86534468774,14675.389849484724,29478.50874795915,94593.76905119138,9720.759261130584,110202.06330889111,52282.990238606624,36413.97658264192,9679.200668976358,10425.51103034276,7071.620172196002,842.6855965958168,2561.816889823082,103083.17297561691,11648.63139752889,9435.530642904449,61095.93797355525
Pistoia,16240.891002612427,6293.497801286445,7170.328206410888,813.3227319953543,60604.87106711283,28016.142773719654,24237.506876484247,5562.900948263067,3575.7942699218083,5339.25322621861,6362.661231463417,3389.6573074589937,2557.777853009626,26987.38885854816,5285.63007157426,2205.3030035361685,578.0488753107632,341.96455833928206,122.17532592992823,383.6989844101488,75.38085563096011,138.54768758824906,312.817076703937,3714.346687598382,42092.8759056801,3993.5308759847903,6606.338834017498,5015.803279295077,496.87402766623717,14119.960475299707,19377.954724009207,238.07951792038722,18921.52327918183,0.0,96942.8858508616,28698.977675051527,7970.303517946148,2227.873404250846,3484.744969102136,1786.0728928497572,102.18788763928852,1123.275347437415,9870.762639875631,2491.6956790127315,75.30341602321664,17.063475273794932,6363.216028325174,272.1777593937065,2185.047598053485,322.4153215022645,12820.626480033785,9314.304085964339,5241.39705566265,7525.180682474278,4796.263768760343,36635.692319516274,6150.409581920292,79637.32479863914,5001.9084352679,20066.666354803157,4148.795405683912,3305.013623165048,32819.28197744405,1073.6261308792552,13831.20886698769,8828.445174825449,4781.207982102604,2390.6012564569432,2697.266522263319,1762.8945398610276,200.1440222569349,612.354021445981,24558.766107265095,2772.786601471406,2326.966586411274,17007.246541623856
Firenze,145158.5256262525,56070.529295884306,63898.88808357801,7376.008138873066,529157.0224481946,247091.2832527228,212066.011101614,47743.44647276029,30698.043077860722,44606.05070793679,54619.93303444255,32027.753352277658,23747.156666361956,262776.00046238024,60074.09616779278,25096.47126421509,6442.969262969327,3735.535462672194,1277.9676111183758,4074.3128254966105,796.6514267175812,1451.0465618135117,3367.7658472587054,40089.57994050238,393210.22240149387,38646.24759334647,57776.70690190029,53916.403036219825,5330.170950894856,126392.77122607015,185252.146990455,2585.406440006198,290847.7814724015,96942.8858508616,0.0,252046.4625035334,78500.95746249278,21273.08690863756,36088.30010427544,18251.33746318273,1057.1738541567395,11885.579134914196,148558.26529720635,24877.26522817935,791.903172174737,176.66412407435286,81198.53475979435,3209.2069220292706,25097.97567115338,3432.375788849057,151681.0041592169,91725.36669461279,63210.16999935991,59029.65750920762,55996.84378424311,286956.9698579744,57776.10668808179,697655.2191477489,59653.37102276435,232223.7301627729,34560.862114784904,38022.5460244116,251366.13181093434,12424.30367722371,155351.02975145666,97762.56553820794,52814.87044746118,21110.57033312118,23343.19148038075,15505.749069045125,1796.471564310001,5495.19110787985,220178.40260080277,24896.843455991253,20558.431335605066,142621.24974691492
Monza,2016396.2992629826,1115511.562013039,1129689.1964790546,54000.50027181761,18405726.80006369,3761116.830675437,1242028.7139288017,491346.0384656177,394035.51380971697,211719.5938710976,137361.63601043707,103615.15341607561,80489.56262059372,518121.6305956362,58761.02361845266,24818.2529124677,6990.550302732958,4363.581199092844,1918.6983024451488,5545.036837802572,1121.0500000420157,2116.1306021717605,4235.072666034686,49327.397154341794,895771.7092347579,90888.25911870493,8770.166068452281,67375.36887936568,6806.674837872592,354082.9363605482,347238.49130467075,3130.366613557075,114428.18668422723,28698.977675051527,252046.4625035334,0.0,135587.84708998277,31737.70323798814,55190.35767717122,30523.93870838231,1608.636699343964,16728.528765844218,50732.857220937454,48374.84328519137,1148.463951848563,268.2306093876392,52319.10602723788,2655.4389605217,24119.1387986361,4666.108080782947,93491.13024685289,186652.80902637207,45526.77773888855,136184.62343709348,50330.984192421114,353028.65544472303,70869.28414767626,564575.8272119459,47425.32405467204,215226.84552071837,196346.01404969383,36061.7687278601,402969.16211110563,11092.209625837466,150643.1664475015,78335.98440246134,57237.46743129669,225801.1094391067,128516.01108659575,76108.06134223602,12383.635348702115,60148.31496828166,1041686.3164385748,81272.95787230071,163385.5142045439,433864.47995291016
Venezia,78769.51061790033,31333.68741947618,37839.03147209222,5152.782659234107,271194.5187273581,147168.46505561052,137524.34402727612,22042.405931465833,15408.03142291548,22027.30323240594,34967.81476800368,34900.97378225041,25987.718076528403,1111718.5856411038,20204.401958835508,9065.465763823602,2520.6053892905406,1427.7643214248762,600.0735819437579,1746.6435605253141,355.63662015311104,630.2128592790874,1354.7314560398324,15540.552170739245,625148.6015197841,67902.78362333775,2611.126137194646,20841.85881126547,2145.836842038474,113222.20050203495,485651.94002967543,1033.0406084256701,40234.26835084261,7970.303517946148,78500.95746249278,135587.84708998277,0.0,27430.816942981804,15366.66523674154,23297.993315972883,439.8312005147029,5441.278660028282,15244.122541785395,38072.70084621115,361.399423517335,73.74790904139422,18634.322604916655,888.2894180221589,9676.207485140174,1536.1889554494537,45167.4013003244,196507.14700246422,22857.022159874472,23501.553397994096,20665.368713602107,103252.88301457335,40747.22522227826,217841.74763137987,23045.9572296384,96467.26424950511,15579.847138107822,13543.0471312191,92357.50011730092,3702.4289927440586,46105.22386591341,45345.043910626795,18150.516262818906,10268.61493190268,9718.95656981225,6490.70161510815,874.4692335666072,3494.5796682664436,96584.87127995277,9692.88343861685,9599.974097823822,49166.95207161195
