partenza,arrivo,paese,passeggeri
Trieste,Munich Franz Josef Strauss,Germany,114141
Roma Fiumicino,Hamburg Fuhlsbuettel,Germany,113761
Treviso,Berlin Schoenefeld,Germany,113083
Roma Fiumicino,Manchester International,Great Britain,112873
Genova,Paris C. De Gaulle,France,112313
Roma Fiumicino,Bristol,Great Britain,112201
Bergamo,Hamburg Fuhlsbuettel,Germany,112077
Bergamo,Tenerife Sur Reina Sofia,Spain,112044
Roma Fiumicino,Stuttgart Echterdingen,Germany,111798
Firenze,Madrid Barajas,Spain,111502
Palermo,London Stansted,Great Britain,110642
Napoli,Brussels National,Belgium,110490
Treviso,Beauvais Tille,France,110402
Verona,Frankfurt International,Germany,110040
Roma Fiumicino,Valencia,Spain,109705
Ancona,London Stansted,Great Britain,109108
Milano Malpensa,Cologne,Germany,108182
Bari,Munich Franz Josef Strauss,Germany,107435
Bari,Beauvais Tille,France,107164
Napoli,Vienna International,Austria,106537
Pisa,Berlin Schoenefeld,Germany,106128
Milano Malpensa,Stockholm Arlanda,Sweden,103038
Bergamo,Cluj Napoca,Romania,103013
Olbia,London Gatwick,Great Britain,102971
Napoli,Berlin Schoenefeld,Germany,102651
Bergamo,Nurnmberg,Germany,102647
Bologna,Beauvais Tille,France,101986
Milano Linate,Dublin,Ireland,101900
Bologna,London Gatwick,Great Britain,99137
Napoli,Prague Ruzyne,Czech Republic,99070
Bologna,Vienna International,Austria,97366
Milano Malpensa,Mikonos,Greece,97184
Venezia,Prague Ruzyne,Czech Republic,95779
Trapani,Charleroi Brussels South Airport,Belgium,95412
Roma Fiumicino,Alicante,Spain,95130
Bergamo,Warsaw Okecie,Poland,94854
Firenze,London City Airport,Great Britain,94665
Bologna,Ibiza,Spain,94592
Roma Ciampino,Krakow John Paul Ii Balice,Poland,93988
Catania,Dusseldorf,Germany,93140
Venezia,London Luton International,Great Britain,92723
Bologna,Eindhoven,Netherlands,92611
Genova,Munich Franz Josef Strauss,Germany,92383
Perugia,London Stansted,Great Britain,91534
Venezia,Hamburg Fuhlsbuettel,Germany,90971
Palermo,Paris Orly,France,90243
Roma Ciampino,Hahn Airport,Germany,90124
Milano Linate,Malta Luqa,Malta,89307
Pisa,Beauvais Tille,France,89105
Pescara,London Stansted,Great Britain,88388
Firenze,Dusseldorf,Germany,88259
Roma Ciampino,Edinburgh Turnhouse,Great Britain,88249
Milano Malpensa,Menorca,Spain,87604
Pisa,Valencia,Spain,86694
Roma Fiumicino,Rotterdam,Netherlands,86067
Bergamo,Alicante,Spain,85693
Venezia,Copenhagen Airport,Denmark,85459
Milano Malpensa,Birmingham International,Great Britain,85304
Bergamo,Fuerteventura Puerto Del Rosario,Spain,85028
Firenze,London Gatwick,Great Britain,84575
Milano Linate,Stockholm Arlanda,Sweden,84512
Roma Fiumicino,Bacau,Romania,84437
Ancona,Munich Franz Josef Strauss,Germany,84223
Pisa,Manchester International,Great Britain,83690
Milano Linate,Bucharest Otopeni International,Romania,83669
Pisa,London Luton International,Great Britain,83457
Roma Fiumicino,Thira,Greece,82986
Venezia,Edinburgh Turnhouse,Great Britain,82904
Bari,Amsterdam Schiphol,Netherlands,82698
Catania,Berlin Schoenefeld,Germany,82587
Milano Malpensa,Porto,Portugal,82437
Bari,London Gatwick,Great Britain,82151
Genova,London Stansted,Great Britain,81885
Bergamo,Gdansk Rebiechowo,Poland,81226
Milano Malpensa,Nantes Chateau Bougon,France,80812
Milano Malpensa,Tenerife Sur Reina Sofia,Spain,79816
Bergamo,Thessaloniki Makedonia Apt,Greece,79782
Bari,Bucharest Otopeni International,Romania,79725
Catania,Paris Orly,France,79142
Brindisi,London Stansted,Great Britain,78194
Roma Fiumicino,Cologne,Germany,77909
Napoli,Dublin,Ireland,76885
Bologna,Malta Luqa,Malta,76847
Bergamo,Riga,Latvia,76798
Bari,Budapest Ferihegy,Hungary,76242
Milano Linate,Munich Franz Josef Strauss,Germany,76008
Napoli,Bucharest Otopeni International,Romania,75780
Bergamo,Niederrhein,Germany,75754
Bologna,Dusseldorf,Germany,75360
Catania,Berlin Tegel,Germany,75337
Catania,Madrid Barajas,Spain,75317
Venezia,Mulhouse Euroairport French,France,75009
Roma Ciampino,Thessaloniki Makedonia Apt,Greece,74576
Treviso,Brussels National,Belgium,74278
Bergamo,Palma Mallorca,Spain,74131
Bergamo,Bratislava Ivanka,Slovak Republic,73948
Bari,Charleroi Brussels South Airport,Belgium,73589
Roma Fiumicino,Birmingham International,Great Britain,73276
Verona,London Stansted,Great Britain,73245
Roma Ciampino,Santander,Spain,73201
Genova,London Gatwick,Great Britain,72843
Milano Malpensa,Bordeaux Merignac,France,72104
Bologna,Athens Hellinikon,Greece,71974
Treviso,Hahn Airport,Germany,71690
Olbia,Amsterdam Schiphol,Netherlands,71664
Bologna,Cluj Napoca,Romania,71493
Bologna,Warsaw Modlin,Poland,71138
Olbia,Dusseldorf,Germany,70766
Palermo,Munich Franz Josef Strauss,Germany,70682
Bergamo,Gran Canaria Las Palmas,Spain,70240
Olbia,Paris C. De Gaulle,France,69448
Bergamo,Malaga,Spain,68517
Pisa,Munich Franz Josef Strauss,Germany,68444
Pescara,Hahn Airport,Germany,68441
Bologna,Tenerife Sur Reina Sofia,Spain,67905
Pisa,Dublin,Ireland,67857
Venezia,Bordeaux Merignac,France,67804
Catania,Stuttgart Echterdingen,Germany,67756
Roma Ciampino,Cluj Napoca,Romania,67692
Verona,Amsterdam Schiphol,Netherlands,67310
Bologna,Cologne,Germany,67245
Venezia,Cologne,Germany,67109
Pescara,Charleroi Brussels South Airport,Belgium,67030
Torino,Bucharest Otopeni International,Romania,66604
Venezia,Dublin,Ireland,66596
Bologna,Dublin,Ireland,66487
Bologna,Sevilla,Spain,66461
Roma Fiumicino,Mikonos,Greece,66407
Milano Linate,Barcelona,Spain,66226
Catania,Barcelona,Spain,65821
Napoli,Budapest Ferihegy,Hungary,65642
Palermo,London Gatwick,Great Britain,65154
Bergamo,Edinburgh Turnhouse,Great Britain,65136
Trieste,London Stansted,Great Britain,65005
Napoli,Stuttgart Echterdingen,Germany,64762
Pisa,Hahn Airport,Germany,64700
Bergamo,Lanzarote,Spain,64230
Milano Malpensa,Fuerteventura Puerto Del Rosario,Spain,63487
Palermo,Niederrhein,Germany,63231
Napoli,Dusseldorf,Germany,62864
Milano Malpensa,Riga,Latvia,62667
Bergamo,Zaragoza,Spain,62667
Milano Malpensa,Dublin,Ireland,62640
Venezia,Nice Cote D'Azur,France,62500
Roma Fiumicino,Luxembourg Findel,Luxemburg,62309
Pisa,Bristol,Great Britain,62097
Treviso,Dublin,Ireland,61857
Catania,Manchester International,Great Britain,60098
Lamezia Terme,London Stansted,Great Britain,60013
Olbia,Munich Franz Josef Strauss,Germany,59545
Pisa,Barcelona,Spain,59425
Bergamo,Craiova,Romania,59135
Bologna,Sofia Vrazhdebna,Bulgaria,59120
Venezia,Athens Hellinikon,Greece,58937
Milano Malpensa,Heraklion N. Kazantzakis Apt,Greece,58278
Napoli,Nice Cote D'Azur,France,58155
Treviso,Malta Luqa,Malta,58133
Bergamo,Iasi,Romania,57406
Roma Ciampino,Bordeaux Merignac,France,57154
Catania,Budapest Ferihegy,Hungary,56727
Bergamo,Tallinn Ulemiste,Estonia,56231
Verona,Birmingham International,Great Britain,56080
Bari,Malta Luqa,Malta,55154
Roma Ciampino,Bratislava Ivanka,Slovak Republic,54854
Venezia,Nantes Chateau Bougon,France,54846
Bologna,Krakow John Paul Ii Balice,Poland,54598
Torino,Charleroi Brussels South Airport,Belgium,54555
Milano Malpensa,Sevilla,Spain,54538
Napoli,Ibiza,Spain,54433
Milano Malpensa,Lyon Satolas,France,54087
Palermo,Madrid Barajas,Spain,53919
Cagliari,Barcelona,Spain,53899
Milano Malpensa,Toulouse Blagnac,France,53832
Olbia,Berlin Schoenefeld,Germany,53731
Roma Fiumicino,Tenerife Sur Reina Sofia,Spain,53674
Bari,Hahn Airport,Germany,53589
Torino,Bacau,Romania,53532
Bologna,Brussels National,Belgium,53150
Bergamo,East Midlands,Great Britain,53099
Palermo,Beauvais Tille,France,53043
Catania,Eindhoven,Netherlands,52846
Treviso,East Midlands,Great Britain,52755
Bari,Berlin Schoenefeld,Germany,52654
Bergamo,Suceava Salcea,Romania,52581
Roma Fiumicino,Liverpool International Airport,Great Britain,52399
Venezia,Marseille,France,52280
Olbia,Stuttgart Echterdingen,Germany,52217
Milano Malpensa,Rhodes Diagoras Airport,Greece,52085
Venezia,Toulouse Blagnac,France,51949
Milano Malpensa,Lanzarote,Spain,51885
Verona,Manchester International,Great Britain,51008
Bergamo,Bristol,Great Britain,50881
Roma Ciampino,Porto,Portugal,50877
Pisa,Malta Luqa,Malta,50567
Catania,London Luton International,Great Britain,50537
Firenze,Brussels National,Belgium,50529
Bergamo,Santiago De Compostela,Spain,50121
