id_istat,comune,lng,lat,regione
1284,Val della Torre,7.44941143,45.15556488,Piemonte
1285,Valgioie,7.33963962,45.07600826,Piemonte
1286,Vallo Torinese,7.49928924,45.22350106,Piemonte
1287,Valperga,7.6567871,45.37027102,Piemonte
1288,Valprato Soana,7.5489665,45.5223738,Piemonte
1289,Varisella,7.48902531,45.20984085,Piemonte
1290,Vauda Canavese,7.6182079,45.27924268,Piemonte
1291,Venaus,7.01194778,45.15470177,Piemonte
1292,Venaria Reale,7.63149732,45.132537400000004,Piemonte
1293,Verolengo,7.96715786,45.18904937,Piemonte
1294,Verrua Savoia,8.09314758,45.15655009,Piemonte
1295,Vestignè,7.95387863,45.38670164,Piemonte
1296,Vialfrè,7.81817187,45.38083894,Piemonte
1298,Vidracco,7.75901516,45.43045472,Piemonte
1299,Vigone,7.49452417,44.84235593,Piemonte
1300,Villafranca Piemonte,7.50450846,44.78128218,Piemonte
1301,Villanova Canavese,7.55354045,45.24293558,Piemonte
1302,Villarbasse,7.46800102,45.04487159,Piemonte
1303,Villar Dora,7.38382219,45.11783797,Piemonte
1304,Villareggia,7.97850007,45.31101176,Piemonte
1305,Villar Focchiardo,7.22668959,45.10971506,Piemonte
1306,Villar Pellice,7.15827939,44.80859193,Piemonte
1307,Villar Perosa,7.24926893,44.92019309,Piemonte
1308,Villastellone,7.7453532,44.92155495,Piemonte
1309,Vinovo,7.63424154,44.94878443,Piemonte
1310,Virle Piemonte,7.56889069,44.86594197,Piemonte
1311,Vische,7.95138039,45.33156931,Piemonte
1312,Vistrorio,7.76941978,45.44109707,Piemonte
1313,Viù,7.37646792,45.23894208,Piemonte
1314,Volpiano,7.77555033,45.20189898,Piemonte
1315,Volvera,7.51230483,44.95502486,Piemonte
1316,Mappano,7.7070000000000025,45.1475,Piemonte
1317,Val di Chy,7.77804763,45.4522721533,Piemonte
1318,Valchiusa,7.774296216669999,45.49153881,Piemonte
2002,Alagna Valsesia,7.93812982,45.85332586,Piemonte
2003,Albano Vercellese,8.38058282,45.42511503,Piemonte
2004,Alice Castello,8.07469466,45.36652862,Piemonte
2006,Arborio,8.38898545,45.49608576,Piemonte
2007,Asigliano Vercellese,8.40619426,45.26117617,Piemonte
2008,Balmuccia,8.13825637,45.81834722,Piemonte
2009,Balocco,8.28103358,45.45553463,Piemonte
2011,Bianzè,8.12006412,45.30737818,Piemonte
2014,Boccioleto,8.11329092,45.82998665,Piemonte
2015,Borgo d'Ale,8.05372704,45.34991763,Piemonte
2016,Borgosesia,8.27641052,45.71672956,Piemonte
2017,Borgo Vercelli,8.4663705,45.35715818,Piemonte
2021,Buronzo,8.26833442,45.48211892,Piemonte
2025,Campertogno,8.03216717,45.79867325,Piemonte
2029,Carcoforo,8.04890161,45.90888987,Piemonte
2030,Caresana,8.50648564,45.22108416,Piemonte
2031,Caresanablot,8.38877273,45.35735225,Piemonte
